text,label
This is a general message without any personal identifiers.,No SSN
Please send me the documents tomorrow.,No SSN
The user's SSN is 854-23-9935.,Contains SSN
The user's SSN is 532-14-1488.,Contains SSN
The user's SSN is 338-74-1434.,Contains SSN
Let's catch up next week.,No SSN
Sensitive data: SSN is XXX-XX-8359.,Partial SSN
This is a general message without any personal identifiers.,No SSN
Please send me the documents tomorrow.,No SSN
The quick brown fox jumps over the lazy dog.,No SSN
The user's SSN is 320-53-2674.,Contains SSN
The user's SSN is 199-55-6635.,Contains SSN
This is a general message without any personal identifiers.,No SSN
Let's catch up next week.,No SSN
The user's SSN is 487-20-5803.,Contains SSN
Let's catch up next week.,No SSN
The quick brown fox jumps over the lazy dog.,No SSN
This is a general message without any personal identifiers.,No SSN
The user's SSN is 333-47-2307.,Contains SSN
This is a general message without any personal identifiers.,No SSN
Sensitive data: SSN is XXX-XX-8428.,Partial SSN
The quick brown fox jumps over the lazy dog.,No SSN
The user's SSN is 463-36-5374.,Contains SSN
This is a general message without any personal identifiers.,No SSN
Please send me the documents tomorrow.,No SSN
Please send me the documents tomorrow.,No SSN
The user's SSN is 488-44-4598.,Contains SSN
This is a general message without any personal identifiers.,No SSN
The user's SSN is 132-50-7572.,Contains SSN
The user's SSN is 316-82-6155.,Contains SSN
The user's SSN is 611-60-8517.,Contains SSN
The user's SSN is 242-41-9830.,Contains SSN
The user's SSN is 698-64-7543.,Contains SSN
Sensitive data: SSN is XXX-XX-3266.,Partial SSN
This is a general message without any personal identifiers.,No SSN
This is a general message without any personal identifiers.,No SSN
The user's SSN is 263-97-7916.,Contains SSN
Reminder: team meeting at 3 PM.,No SSN
Sensitive data: SSN is XXX-XX-8668.,Partial SSN
Let's catch up next week.,No SSN
This is a general message without any personal identifiers.,No SSN
This is a general message without any personal identifiers.,No SSN
Let's catch up next week.,No SSN
The quick brown fox jumps over the lazy dog.,No SSN
The user's SSN is 545-30-8433.,Contains SSN
The user's SSN is 839-43-9201.,Contains SSN
Let's catch up next week.,No SSN
The quick brown fox jumps over the lazy dog.,No SSN
Let's catch up next week.,No SSN
Please send me the documents tomorrow.,No SSN
Sensitive data: SSN is XXX-XX-3646.,Partial SSN
Let's catch up next week.,No SSN
